job_id,start_time,end_time,carbon_footprint
139,2024-12-02 16:20:07.946678,2024-12-02 16:26:40.788297,4295.808000000005
166,2024-12-02 16:26:40.799963,2024-12-02 16:30:34.523001,1898.3760000000013
167,2024-12-02 16:26:42.807521,2024-12-02 16:30:47.179238,1996.1080000000013
168,2024-12-02 16:26:44.815770,2024-12-02 16:31:01.352372,1996.1080000000013
170,2024-12-02 16:30:47.208364,2024-12-02 16:35:39.170249,2234.921999999999
171,2024-12-02 16:30:49.219599,2024-12-02 16:35:14.145182,2138.7939999999994
172,2024-12-02 16:31:01.364132,2024-12-02 16:35:39.170303,2331.3299999999986
174,2024-12-02 16:35:26.686053,2024-12-02 16:40:38.068390,2353.2139999999986
175,2024-12-02 16:35:39.174160,2024-12-02 16:40:38.068471,2353.002999999999
176,2024-12-02 16:35:41.182181,2024-12-02 16:40:38.068489,2353.2139999999986
177,2024-12-02 16:40:38.074192,2024-12-02 16:45:31.573058,2177.9700000000007
178,2024-12-02 16:40:40.083180,2024-12-02 16:45:17.411052,2178.3240000000005
179,2024-12-02 16:40:42.087825,2024-12-02 16:45:17.411153,2177.9700000000007
180,2024-12-02 16:45:17.416942,2024-12-02 16:49:30.143256,1988.432000000001
181,2024-12-02 16:45:19.420458,2024-12-02 16:49:30.143313,1988.432000000001
182,2024-12-02 16:45:31.576466,2024-12-02 16:49:30.143376,1988.432000000001
183,2024-12-02 16:49:30.150125,2024-12-02 16:53:08.160173,1792.2340000000004
184,2024-12-02 16:49:32.155169,2024-12-02 16:53:22.279274,1793.4580000000005
185,2024-12-02 16:49:34.162918,2024-12-02 16:53:08.160235,1792.2340000000004
186,2024-12-02 16:53:08.165904,2024-12-02 16:56:45.316051,1686.966
187,2024-12-02 16:53:10.179275,2024-12-02 16:56:45.316137,1686.966
188,2024-12-02 16:53:22.284811,2024-12-02 16:56:59.768392,1780.254
190,2024-12-02 16:56:47.328289,2024-12-02 17:00:59.091202,1846.4639999999981
191,2024-12-02 16:56:59.772742,2024-12-02 17:00:59.091237,1753.9579999999983
192,2024-12-02 16:57:01.780991,2024-12-02 17:00:46.710762,1753.9579999999983
194,2024-12-02 17:00:59.094400,2024-12-02 17:04:38.399679,1772.5640000000005
195,2024-12-02 17:01:01.099761,2024-12-02 17:04:50.527249,1772.5640000000005
196,2024-12-02 17:01:03.108302,2024-12-02 17:04:50.527407,1772.5640000000005
197,2024-12-02 17:04:38.404139,2024-12-02 17:08:49.885410,1905.5939999999987
198,2024-12-02 17:04:50.537517,2024-12-02 17:09:16.564973,2001.4059999999986
199,2024-12-02 17:04:52.545262,2024-12-02 17:09:02.417496,2001.4059999999986
201,2024-12-02 17:09:02.426494,2024-12-02 17:13:05.583387,1896.1899999999985
202,2024-12-02 17:09:04.432147,2024-12-02 17:12:52.811928,1801.4119999999987
203,2024-12-02 17:09:16.573811,2024-12-02 17:13:19.700236,1896.1899999999985
205,2024-12-02 17:13:05.589868,2024-12-02 17:17:17.260410,1904.2740000000003
206,2024-12-02 17:13:07.598495,,1999.8660000000004
207,2024-12-02 17:13:19.704950,,1999.8660000000004
208,2024-12-02 17:17:17.270159,,0.0
