job_id,start_time,end_time,carbon_footprint
0,2024-11-30 19:16:09.471824,2024-11-30 19:19:31.121739,2505.52
1,2024-11-30 19:16:11.481229,2024-11-30 19:19:31.121816,2505.52
2,2024-11-30 19:16:13.490258,2024-11-30 19:21:58.189836,5979.480000000001
3,2024-11-30 19:16:15.496319,2024-11-30 19:16:48.038514,0.0
4,2024-11-30 19:16:48.043742,2024-11-30 19:17:20.750873,0.0
5,2024-11-30 19:17:20.755162,2024-11-30 19:17:53.224808,0.0
6,2024-11-30 19:17:53.230069,2024-11-30 19:18:26.044260,0.0
7,2024-11-30 19:18:26.049298,2024-11-30 19:18:58.584774,0.0
8,2024-11-30 19:18:58.592024,2024-11-30 19:19:31.123269,0.0
9,2024-11-30 19:19:31.127524,2024-11-30 19:20:08.251333,0.0
10,2024-11-30 19:19:33.146601,2024-11-30 19:20:08.251712,0.0
11,2024-11-30 19:19:35.157685,2024-11-30 19:20:08.251942,0.0
12,2024-11-30 19:20:08.256679,2024-11-30 19:20:44.927197,0.0
13,2024-11-30 19:20:10.262909,2024-11-30 19:20:44.927596,0.0
14,2024-11-30 19:20:12.272711,2024-11-30 19:20:44.927980,0.0
15,2024-11-30 19:20:44.932412,2024-11-30 19:21:21.540386,0.0
16,2024-11-30 19:20:46.940977,2024-11-30 19:21:21.540742,0.0
17,2024-11-30 19:20:48.950877,2024-11-30 19:21:21.541108,0.0
18,2024-11-30 19:21:21.545238,2024-11-30 19:21:58.191567,0.0
19,2024-11-30 19:21:23.549166,2024-11-30 19:21:58.192376,0.0
20,2024-11-30 19:21:25.557715,2024-11-30 19:21:58.192771,0.0
21,2024-11-30 19:21:58.201415,2024-11-30 19:25:20.035664,2373.79
22,2024-11-30 19:22:00.209764,2024-11-30 19:25:20.035725,2373.79
23,2024-11-30 19:22:02.226280,2024-11-30 19:27:47.002403,5548.9800000000005
24,2024-11-30 19:22:04.236603,2024-11-30 19:22:36.858837,0.0
25,2024-11-30 19:22:36.864975,2024-11-30 19:23:09.653980,0.0
26,2024-11-30 19:23:09.659988,2024-11-30 19:23:42.295922,0.0
27,2024-11-30 19:23:42.302086,2024-11-30 19:24:14.921026,0.0
28,2024-11-30 19:24:14.926560,2024-11-30 19:24:47.481958,0.0
29,2024-11-30 19:24:47.486775,2024-11-30 19:25:20.037364,0.0
