,job_id,start_time,end_time,carbon_footprint,executors,duration
10,10,2025-01-01 03:31:09.836854,2024-12-31 21:33:43.758345,206.0466666666667,"[('33:28', 'task-simulation-725c6f941ea332ff-exec-1'), ('33:29', 'task-simulation-725c6f941ea332ff-exec-2'), ('33:29', 'task-simulation-725c6f941ea332ff-exec-3'), ('33:29', 'task-simulation-725c6f941ea332ff-exec-4'), ('33:31', 'task-simulation-725c6f941ea332ff-exec-1'), ('33:31', 'task-simulation-725c6f941ea332ff-exec-2'), ('33:31', 'task-simulation-725c6f941ea332ff-exec-3'), ('33:32', 'task-simulation-725c6f941ea332ff-exec-4'), ('33:33', 'task-simulation-725c6f941ea332ff-exec-1'), ('33:33', 'task-simulation-725c6f941ea332ff-exec-2'), ('33:34', 'task-simulation-725c6f941ea332ff-exec-3'), ('33:34', 'task-simulation-725c6f941ea332ff-exec-4'), ('33:35', 'task-simulation-725c6f941ea332ff-exec-1'), ('33:35', 'task-simulation-725c6f941ea332ff-exec-2'), ('33:35', 'task-simulation-725c6f941ea332ff-exec-3'), ('33:36', 'task-simulation-725c6f941ea332ff-exec-4'), ('33:37', 'task-simulation-725c6f941ea332ff-exec-1'), ('33:37', 'task-simulation-725c6f941ea332ff-exec-2'), ('33:37', 'task-simulation-725c6f941ea332ff-exec-3'), ('33:38', 'task-simulation-725c6f941ea332ff-exec-4')]",0 days 00:00:36.363181
11,11,2025-01-01 03:31:21.194151,2024-12-31 21:33:54.382382,41.20933333333333,"[('33:44', 'task-simulation-9ef57e941ea37bd2-exec-1'), ('33:45', 'task-simulation-9ef57e941ea37bd2-exec-1'), ('33:47', 'task-simulation-9ef57e941ea37bd2-exec-1'), ('33:49', 'task-simulation-9ef57e941ea37bd2-exec-1')]",0 days 00:00:30.875085
12,12,2025-01-01 03:32:23.865644,2024-12-31 21:34:18.587378,597.5353333333326,"[('33:46', 'task-simulation-2293df941ea37e72-exec-1'), ('33:47', 'task-simulation-2293df941ea37e72-exec-3'), ('33:48', 'task-simulation-2293df941ea37e72-exec-1'), ('33:48', 'task-simulation-2293df941ea37e72-exec-2'), ('33:49', 'task-simulation-2293df941ea37e72-exec-3'), ('33:49', 'task-simulation-2293df941ea37e72-exec-4'), ('33:50', 'task-simulation-2293df941ea37e72-exec-1'), ('33:51', 'task-simulation-2293df941ea37e72-exec-2'), ('33:51', 'task-simulation-2293df941ea37e72-exec-3'), ('33:51', 'task-simulation-2293df941ea37e72-exec-4'), ('33:52', 'task-simulation-2293df941ea37e72-exec-1'), ('33:52', 'task-simulation-2293df941ea37e72-exec-2'), ('33:53', 'task-simulation-2293df941ea37e72-exec-3'), ('33:53', 'task-simulation-2293df941ea37e72-exec-4'), ('33:54', 'task-simulation-2293df941ea37e72-exec-1'), ('33:54', 'task-simulation-2293df941ea37e72-exec-2'), ('33:55', 'task-simulation-2293df941ea37e72-exec-3'), ('33:55', 'task-simulation-2293df941ea37e72-exec-4'), ('33:56', 'task-simulation-2293df941ea37e72-exec-1'), ('33:56', 'task-simulation-2293df941ea37e72-exec-2'), ('33:56', 'task-simulation-2293df941ea37e72-exec-3'), ('33:57', 'task-simulation-2293df941ea37e72-exec-4'), ('33:58', 'task-simulation-2293df941ea37e72-exec-1'), ('33:58', 'task-simulation-2293df941ea37e72-exec-2'), ('33:58', 'task-simulation-2293df941ea37e72-exec-3'), ('33:59', 'task-simulation-2293df941ea37e72-exec-4'), ('34:00', 'task-simulation-2293df941ea37e72-exec-1'), ('34:00', 'task-simulation-2293df941ea37e72-exec-2'), ('34:00', 'task-simulation-2293df941ea37e72-exec-3'), ('34:00', 'task-simulation-2293df941ea37e72-exec-4'), ('34:02', 'task-simulation-2293df941ea37e72-exec-1'), ('34:02', 'task-simulation-2293df941ea37e72-exec-2'), ('34:02', 'task-simulation-2293df941ea37e72-exec-3'), ('34:02', 'task-simulation-2293df941ea37e72-exec-4'), ('34:04', 'task-simulation-2293df941ea37e72-exec-1'), ('34:04', 'task-simulation-2293df941ea37e72-exec-2'), ('34:04', 'task-simulation-2293df941ea37e72-exec-3'), ('34:04', 'task-simulation-2293df941ea37e72-exec-4'), ('34:05', 'task-simulation-2293df941ea37e72-exec-1'), ('34:06', 'task-simulation-2293df941ea37e72-exec-2'), ('34:06', 'task-simulation-2293df941ea37e72-exec-3'), ('34:06', 'task-simulation-2293df941ea37e72-exec-4'), ('34:07', 'task-simulation-2293df941ea37e72-exec-1'), ('34:08', 'task-simulation-2293df941ea37e72-exec-2'), ('34:08', 'task-simulation-2293df941ea37e72-exec-3'), ('34:08', 'task-simulation-2293df941ea37e72-exec-4'), ('34:09', 'task-simulation-2293df941ea37e72-exec-1'), ('34:09', 'task-simulation-2293df941ea37e72-exec-2'), ('34:10', 'task-simulation-2293df941ea37e72-exec-3'), ('34:10', 'task-simulation-2293df941ea37e72-exec-4'), ('34:11', 'task-simulation-2293df941ea37e72-exec-1'), ('34:11', 'task-simulation-2293df941ea37e72-exec-2'), ('34:12', 'task-simulation-2293df941ea37e72-exec-3'), ('34:12', 'task-simulation-2293df941ea37e72-exec-4'), ('34:13', 'task-simulation-2293df941ea37e72-exec-1'), ('34:13', 'task-simulation-2293df941ea37e72-exec-2'), ('34:13', 'task-simulation-2293df941ea37e72-exec-3'), ('34:14', 'task-simulation-2293df941ea37e72-exec-4')]",0 days 00:00:52.823560
13,13,2025-01-01 03:33:02.494816,2024-12-31 21:35:27.649101,29.299,"[('35:19', 'task-simulation-7cd123941ea4e7d9-exec-1'), ('35:20', 'task-simulation-7cd123941ea4e7d9-exec-1'), ('35:22', 'task-simulation-7cd123941ea4e7d9-exec-1')]",0 days 00:00:28.246579
14,14,2025-01-01 03:33:36.410225,2024-12-31 21:38:25.210591,22.142,"[('38:18', 'task-simulation-bcede3941ea7a776-exec-1'), ('38:20', 'task-simulation-bcede3941ea7a776-exec-1'), ('38:21', 'task-simulation-bcede3941ea7a776-exec-1')]",0 days 00:00:26.093175
15,15,2025-01-01 03:33:56.141734,2024-12-31 21:38:29.141108,22.142,"[('38:19', 'task-simulation-24c7f8941ea7afaf-exec-1'), ('38:21', 'task-simulation-24c7f8941ea7afaf-exec-1'), ('38:22', 'task-simulation-24c7f8941ea7afaf-exec-1')]",0 days 00:00:28.891625
16,16,2025-01-01 03:34:58.932901,2024-12-31 21:38:36.866881,29.522666666666662,"[('38:28', 'task-simulation-e3df48941ea7cdf1-exec-1'), ('38:29', 'task-simulation-e3df48941ea7cdf1-exec-1'), ('38:30', 'task-simulation-e3df48941ea7cdf1-exec-1'), ('38:32', 'task-simulation-e3df48941ea7cdf1-exec-1')]",0 days 00:00:27.026660
17,17,2025-01-01 03:37:17.622151,2024-12-31 21:38:52.400409,95.9486666666667,"[('38:41', 'task-simulation-a4216e941ea801c6-exec-1'), ('38:43', 'task-simulation-a4216e941ea801c6-exec-1'), ('38:43', 'task-simulation-a4216e941ea801c6-exec-2'), ('38:43', 'task-simulation-a4216e941ea801c6-exec-3'), ('38:43', 'task-simulation-a4216e941ea801c6-exec-4'), ('38:45', 'task-simulation-a4216e941ea801c6-exec-1'), ('38:45', 'task-simulation-a4216e941ea801c6-exec-2'), ('38:45', 'task-simulation-a4216e941ea801c6-exec-3'), ('38:45', 'task-simulation-a4216e941ea801c6-exec-4'), ('38:47', 'task-simulation-a4216e941ea801c6-exec-1'), ('38:47', 'task-simulation-a4216e941ea801c6-exec-2'), ('38:47', 'task-simulation-a4216e941ea801c6-exec-3'), ('38:47', 'task-simulation-a4216e941ea801c6-exec-4')]",0 days 00:00:29.816260
18,18,2025-01-01 03:37:23.446933,2024-12-31 21:39:27.553205,463.2406666666667,"[('38:51', 'task-simulation-86eec8941ea827aa-exec-1'), ('38:52', 'task-simulation-86eec8941ea827aa-exec-1'), ('38:52', 'task-simulation-86eec8941ea827aa-exec-2'), ('38:53', 'task-simulation-86eec8941ea827aa-exec-3'), ('38:54', 'task-simulation-86eec8941ea827aa-exec-1'), ('38:54', 'task-simulation-86eec8941ea827aa-exec-2'), ('38:54', 'task-simulation-86eec8941ea827aa-exec-3'), ('38:55', 'task-simulation-86eec8941ea827aa-exec-4'), ('38:56', 'task-simulation-86eec8941ea827aa-exec-1'), ('38:56', 'task-simulation-86eec8941ea827aa-exec-2'), ('38:56', 'task-simulation-86eec8941ea827aa-exec-3'), ('38:56', 'task-simulation-86eec8941ea827aa-exec-4'), ('38:58', 'task-simulation-86eec8941ea827aa-exec-1'), ('38:58', 'task-simulation-86eec8941ea827aa-exec-2'), ('38:58', 'task-simulation-86eec8941ea827aa-exec-3'), ('38:58', 'task-simulation-86eec8941ea827aa-exec-4'), ('39:00', 'task-simulation-86eec8941ea827aa-exec-1'), ('39:00', 'task-simulation-86eec8941ea827aa-exec-2'), ('39:00', 'task-simulation-86eec8941ea827aa-exec-3'), ('39:00', 'task-simulation-86eec8941ea827aa-exec-4'), ('39:02', 'task-simulation-86eec8941ea827aa-exec-1'), ('39:02', 'task-simulation-86eec8941ea827aa-exec-2'), ('39:02', 'task-simulation-86eec8941ea827aa-exec-3'), ('39:02', 'task-simulation-86eec8941ea827aa-exec-4'), ('39:04', 'task-simulation-86eec8941ea827aa-exec-1'), ('39:04', 'task-simulation-86eec8941ea827aa-exec-2'), ('39:04', 'task-simulation-86eec8941ea827aa-exec-3'), ('39:04', 'task-simulation-86eec8941ea827aa-exec-4'), ('39:06', 'task-simulation-86eec8941ea827aa-exec-1'), ('39:06', 'task-simulation-86eec8941ea827aa-exec-2'), ('39:06', 'task-simulation-86eec8941ea827aa-exec-3'), ('39:06', 'task-simulation-86eec8941ea827aa-exec-4'), ('39:07', 'task-simulation-86eec8941ea827aa-exec-1'), ('39:08', 'task-simulation-86eec8941ea827aa-exec-2'), ('39:08', 'task-simulation-86eec8941ea827aa-exec-3'), ('39:08', 'task-simulation-86eec8941ea827aa-exec-4'), ('39:09', 'task-simulation-86eec8941ea827aa-exec-1'), ('39:10', 'task-simulation-86eec8941ea827aa-exec-2'), ('39:10', 'task-simulation-86eec8941ea827aa-exec-3'), ('39:10', 'task-simulation-86eec8941ea827aa-exec-4'), ('39:11', 'task-simulation-86eec8941ea827aa-exec-1'), ('39:11', 'task-simulation-86eec8941ea827aa-exec-2'), ('39:12', 'task-simulation-86eec8941ea827aa-exec-3'), ('39:12', 'task-simulation-86eec8941ea827aa-exec-4'), ('39:13', 'task-simulation-86eec8941ea827aa-exec-1'), ('39:13', 'task-simulation-86eec8941ea827aa-exec-2'), ('39:13', 'task-simulation-86eec8941ea827aa-exec-3'), ('39:14', 'task-simulation-86eec8941ea827aa-exec-4'), ('39:15', 'task-simulation-86eec8941ea827aa-exec-1'), ('39:15', 'task-simulation-86eec8941ea827aa-exec-2'), ('39:15', 'task-simulation-86eec8941ea827aa-exec-3'), ('39:16', 'task-simulation-86eec8941ea827aa-exec-4'), ('39:17', 'task-simulation-86eec8941ea827aa-exec-1'), ('39:17', 'task-simulation-86eec8941ea827aa-exec-2'), ('39:17', 'task-simulation-86eec8941ea827aa-exec-3'), ('39:17', 'task-simulation-86eec8941ea827aa-exec-4'), ('39:19', 'task-simulation-86eec8941ea827aa-exec-1'), ('39:19', 'task-simulation-86eec8941ea827aa-exec-2'), ('39:19', 'task-simulation-86eec8941ea827aa-exec-3'), ('39:19', 'task-simulation-86eec8941ea827aa-exec-4'), ('39:21', 'task-simulation-86eec8941ea827aa-exec-1'), ('39:21', 'task-simulation-86eec8941ea827aa-exec-2'), ('39:21', 'task-simulation-86eec8941ea827aa-exec-3'), ('39:21', 'task-simulation-86eec8941ea827aa-exec-4')]",0 days 00:00:55.653405
19,19,2025-01-01 03:37:38.661855,2024-12-31 21:40:16.702953,19.8615,"[('40:08', 'task-simulation-91ae3a941ea95558-exec-1'), ('40:09', 'task-simulation-91ae3a941ea95558-exec-1'), ('40:11', 'task-simulation-91ae3a941ea95558-exec-1')]",0 days 00:00:27.257004
